ID,Feature,FrontendMainFile,FrontendMainFunctions,BackendMainFile,BackendMainFunctions,PrimaryCommit,QuickDefenseLine
57,View scheduling,"frontend-web/src/pages/student/SchedulePage.jsx | frontend-web/src/services/scheduleService.js","SchedulePage(); fetchSchedule(); getMyWeekSchedule()","backend-api/src/controllers/schedule.controller.js | backend-api/src/services/schedule.service.js","getMyWeekSchedule()","b32e457","Mo SchedulePage truoc; neu bi hoi sau thi xuong getMyWeekSchedule o BE."
67,"View Request, approved, and application","frontend-web/src/pages/admin/AdminRequestsPage.jsx | frontend-web/src/services/requestService.js","AdminRequestsPage(); loadRequests(); adminGetAllRequests()","backend-api/src/controllers/request.controller.js | backend-api/src/services/request.service.js","getAllRequests(); getRequestById()","b32e457","Admin side de xem danh sach don va chi tiet don nam o AdminRequestsPage.jsx."
68,"Approved/Reject, and application","frontend-web/src/pages/admin/AdminRequestsPage.jsx | frontend-web/src/services/requestService.js","handleConfirmReview(); adminReviewRequest()","backend-api/src/controllers/request.controller.js | backend-api/src/services/request.service.js","reviewRequest()","b32e457","Approve/Reject nam trong modal review; BE luu status + staffNote."
69,Update application,"frontend-web/src/pages/student/StudentRequestsPage.jsx | frontend-web/src/services/requestService.js","loadRequests(); openEditForm(); handleEditSubmit(); handleConfirmCancel()","backend-api/src/controllers/request.controller.js | backend-api/src/services/request.service.js","getMyRequests(); updateRequest(); cancelRequest()","b32e457","Sinh vien sua/huy don Pending nam o StudentRequestsPage.jsx."
75,VIew,"frontend-web/src/pages/admin/AttendancePage.jsx | frontend-web/src/services/attendanceService.js","AttendancePage(); loadClasses(); getClasses()","backend-api/src/controllers/attendance.controller.js | backend-api/src/services/attendance.service.js","getClasses(); getTeachingClasses()","b32e457","View attendance lop giang vien dang day nam o AttendancePage.jsx."
76,Update,"frontend-web/src/pages/admin/AttendancePage.jsx | frontend-web/src/services/attendanceService.js","loadAttendance(); handleSave(); markAttendance()","backend-api/src/controllers/attendance.controller.js | backend-api/src/services/attendance.service.js","getSlotAttendance(); bulkSave()","b32e457","Luu diem danh theo slot dung handleSave o FE va bulkSave o BE."
87,Tuition Summary,"frontend-web/src/pages/student/TuitionPage.jsx | frontend-web/src/pages/student/PaymentPage.jsx | frontend-web/src/services/financeService.js | mobile-app/src/screens/student/TuitionFeeScreen.js | mobile-app/src/hooks/useTuitionFee.js | mobile-app/src/services/tuitionFeeService.js","TuitionPage(); loadData(); PaymentPage(); loadSummary(); TuitionFeeScreen(); useTuitionFee()","backend-api/src/controllers/finance.controller.js | backend-api/src/services/finance.service.js","getMyTuitionSummary()","b32e457","Tong hop hoc phi dang co ca web va mobile; BE trung tam la getMyTuitionSummary()."
102,Prevent Schedule Conflicts,"frontend-web/src/pages/student/ClassRegistrationPage.jsx | frontend-web/src/services/classService.js","validateSingleClass(); checkScheduleConflictNow(); handleSelectClass(); handleRegister(); checkScheduleConflict()","backend-api/src/controllers/registration.controller.js | backend-api/src/services/registration.service.js","validateScheduleConflict(); checkScheduleConflict()","b32e457","Neu thay hoi trung lich thi mo checkScheduleConflictNow o FE va checkScheduleConflict o registration.service."
104,Auto-Generate Timetables,"frontend-web/src/pages/admin/TeachingSchedulePage.jsx | frontend-web/src/services/scheduleService.js","TeachingSchedulePage(); loadGeneratorMasterData(); handleGenerate(); autoGenerateTimetables()","backend-api/src/modules/schedule/schedule.controller.js | backend-api/src/modules/schedule/scheduleGenerator.service.js","autoGenerateTimetables()","b32e457","Trang admin tao lich tu dong nam o TeachingSchedulePage; BE chinh la scheduleGenerator.service.js."
116,View Weekly Timetable,"frontend-web/src/pages/student/SchedulePage.jsx | frontend-web/src/services/scheduleService.js","SchedulePage(); fetchSchedule(); getMyWeekSchedule()","backend-api/src/controllers/schedule.controller.js | backend-api/src/services/schedule.service.js","getMyWeekSchedule()","b32e457","Feature nay trung luong voi scheduling student, nhan manh view timetable theo tuan tren web."
120,View Class Roster,"frontend-web/src/pages/student/SchedulePage.jsx | frontend-web/src/services/classService.js","fetchClassRoster(); getClassRoster()","backend-api/src/modules/classSection/classSection.controller.js | backend-api/src/modules/classSection/classSection.service.js","getClassRoster(); getClassRosterForStudent()","b32e457","Trong SchedulePage co flow mo chi tiet lop va xem roster sinh vien."
123,Take Class Attendance,"frontend-web/src/pages/admin/AttendancePage.jsx | frontend-web/src/services/attendanceService.js","loadAttendance(); handleStatusChange(); handleSave(); markAttendance()","backend-api/src/controllers/attendance.controller.js | backend-api/src/services/attendance.service.js","getSlotAttendance(); bulkSave()","b32e457","Giao dien diem danh giang vien nam o AttendancePage, save xuong bulkSave."
127,Assign Lecturers To Classes,"frontend-web/src/pages/admin/ClassManagement.jsx | frontend-web/src/services/classService.js","handleAssignLecturer(); assignLecturer()","backend-api/src/modules/classSection/classSection.controller.js | backend-api/src/modules/classSection/classSection.service.js","assignLecturer(); assignLecturerToClass()","b32e457","Phan cong giang vien duoc bam tu ClassManagement va patch qua classService.assignLecturer."
138,View Weekly Timetable,"mobile-app/src/screens/student/ScheduleScreen.js | mobile-app/src/services/scheduleService.js","ScheduleScreen(); loadSchedule(); getMyWeekSchedule()","backend-api/src/controllers/schedule.controller.js | backend-api/src/services/schedule.service.js","getMyWeekSchedule()","b32e457","Mobile timetable mo thang ScheduleScreen; ham chinh la loadSchedule()."
153,Create Email Templates,"frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx | frontend-web/src/services/emailTemplateService.js","EmailTemplateManagementPage(); handleSubmit() nhanh create; createEmailTemplate()","backend-api/src/controllers/emailTemplate.controller.js | backend-api/src/services/emailTemplate.service.js","createEmailTemplate(); createTemplate()","6111ac7","Feature tao template mail da co proof core o HuyHMSpring4."
154,View Email Templates,"frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx | frontend-web/src/services/emailTemplateService.js","loadTemplates(); loadTemplateDetail(); getEmailTemplate()","backend-api/src/controllers/emailTemplate.controller.js | backend-api/src/services/emailTemplate.service.js","getEmailTemplates(); getEmailTemplateById(); listTemplates(); getTemplateById()","6111ac7","View template mail dung chung page EmailTemplateManagementPage.jsx."
155,Update/Delete Email Templates,"frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx | frontend-web/src/services/emailTemplateService.js","handleSubmit() nhanh update; handleDelete(); updateEmailTemplate(); deleteEmailTemplate()","backend-api/src/controllers/emailTemplate.controller.js | backend-api/src/services/emailTemplate.service.js","updateEmailTemplate(); deleteEmailTemplate(); updateTemplate(); deleteTemplate()","6111ac7","Update/delete template mail dung chung page EmailTemplateManagementPage.jsx."
157,Submit Lecturer Evaluation,"frontend-web/src/components/features/LecturerFeedbackPortal.jsx | frontend-web/src/services/feedbackService.js | frontend-web/src/pages/student/StudentFeedbackPage.jsx","LecturerFeedbackPortal(); loadBaseData(); loadClassDetails(); handleSubmit(); submitFeedback()","backend-api/src/controllers/feedback.controller.js | backend-api/src/services/feedback.service.js","submitFeedback(); getFeedbackAvailability(); getFeedbackWindowInfo(); createFeedback()","6111ac7","Flow submit lecturer evaluation tren web feedback portal la dau vet phong van nhanh nhat."
